_gram-name_	ADJECTIVE_COMPARATIVE_LONG	Comparative Long
_gram-path_	ADJECTIVE_COMPARATIVE_LONG	Adjectives > Comparative form of long adjectives
_gram-helpText_	ADJECTIVE_COMPARATIVE_LONG	e.g. more difficult
_gram-name_	ADJECTIVE_COMPARATIVE_SHORT	Comparative Short
_gram-path_	ADJECTIVE_COMPARATIVE_SHORT	Adjectives > Comparative form of short adjectives
_gram-helpText_	ADJECTIVE_COMPARATIVE_SHORT	e.g. nicer
_gram-name_	ADJECTIVE_POSITIVE	Positive
_gram-path_	ADJECTIVE_POSITIVE	Adjectives > Positive form of all adjectives
_gram-helpText_	ADJECTIVE_POSITIVE	e.g. nice, difficult, bad, amazing
_gram-name_	ADJECTIVE_SUPERLATIVE_LONG	Superlative Long
_gram-path_	ADJECTIVE_SUPERLATIVE_LONG	Adjectives > Superlative form of long adjectives
_gram-helpText_	ADJECTIVE_SUPERLATIVE_LONG	e.g. most difficult
_gram-name_	ADJECTIVE_SUPERLATIVE_SHORT	Superlative Short
_gram-path_	ADJECTIVE_SUPERLATIVE_SHORT	Adjectives > Superlative form of short adjectives
_gram-helpText_	ADJECTIVE_SUPERLATIVE_SHORT	e.g. nicest
_gram-name_	ADVERB_COMPARATIVE_LONG	Comparative Long
_gram-path_	ADVERB_COMPARATIVE_LONG	Adverbs > Comparative form of long adverbs
_gram-helpText_	ADVERB_COMPARATIVE_LONG	e.g. more seriously
_gram-name_	ADVERB_COMPARATIVE_SHORT	Comparative Short
_gram-path_	ADVERB_COMPARATIVE_SHORT	Adverbs > Comparative form of short adverbs
_gram-helpText_	ADVERB_COMPARATIVE_SHORT	e.g. later
_gram-name_	ADVERB_POSITIVE	Positive
_gram-path_	ADVERB_POSITIVE	Adverbs > Positive form of all adverbs
_gram-helpText_	ADVERB_POSITIVE	e.g. late
_gram-name_	ADVERB_SUPERLATIVE_LONG	Superlative Long
_gram-path_	ADVERB_SUPERLATIVE_LONG	Adverbs > Superlative form of long adverbs
_gram-helpText_	ADVERB_SUPERLATIVE_LONG	e.g. most seriously
_gram-name_	ADVERB_SUPERLATIVE_SHORT	Superlative Short
_gram-path_	ADVERB_SUPERLATIVE_SHORT	Adverbs > Superlative form of short adverbs
_gram-helpText_	ADVERB_SUPERLATIVE_SHORT	e.g. latest
_gram-name_	ARTICLES	All Articles
_gram-path_	ARTICLES	Articles > All articles
_gram-helpText_	ARTICLES	e.g. a, an, the
_gram-name_	ARTICLE_A	A
_gram-path_	ARTICLE_A	Articles > Article "a"
_gram-helpText_	ARTICLE_A	e.g. a tortoise
_gram-name_	ARTICLE_AN	An
_gram-path_	ARTICLE_AN	Articles > Article "an"
_gram-helpText_	ARTICLE_AN	e.g. an apple
_gram-name_	ARTICLE_THE	The
_gram-path_	ARTICLE_THE	Articles > Article "the"
_gram-helpText_	ARTICLE_THE	e.g. the Alps
_gram-name_	ASPECT_PERFECT	Perfect
_gram-path_	ASPECT_PERFECT	Verbs > Aspects > Perfect aspect
_gram-helpText_	ASPECT_PERFECT	All perfect tenses. Have/has/had/will have + done.
_gram-name_	ASPECT_PERFECT_PROGRESSIVE	Perfect Progressive
_gram-path_	ASPECT_PERFECT_PROGRESSIVE	Verbs > Aspects > Perfect Progressive aspect
_gram-helpText_	ASPECT_PERFECT_PROGRESSIVE	All perfect progressive tenses. Have/has/had/will have + been + doing.
_gram-name_	ASPECT_PROGRESSIVE	Progressive
_gram-path_	ASPECT_PROGRESSIVE	Verbs > Aspects > Progressive aspect
_gram-helpText_	ASPECT_PROGRESSIVE	All progressive tenses. Am/is/are/was/were/will be + doing.
_gram-name_	ASPECT_SIMPLE	Simple
